greek	lemma	grammar	isopsephy	roman	root	root_translation	root_isopsephy	primes	root_primes	geometry	root_geometry	occurrences
αιωνων	G165	N-GPM	1711	aiōnōn	αιων	properly, an age; by extension, perpetuity (also past); by implication, the world; specially (Jewish) a Messianic period (present or future)	861	(29, 59)	(3, 7, 41)	(1210, 2420, 988, 2964, 765, 3826, 699, 4191, 1057, 2768, 545, 5375)	(609, 1218, 497, 1491, 385, 1925, 352, 2109, 532, 1393, 274, 2705)	1:6, 1:18, 4:9, 4:10, 5:13, 5:14, 7:12, 10:6, 11:15, 14:11, 15:7, 19:3, 20:10, 22:5
αμην	G281	HEB	99	amēn	αμην	properly, firm, i.e. (figuratively) trustworthy; adverbially, surely (often as interjection, so be it)	99	(3, 11)	(3, 11)	(70, 140, 57, 171, 44, 221, 40, 242, 61, 160, 32, 311)	(70, 140, 57, 171, 44, 221, 40, 242, 61, 160, 32, 311)	1:6, 1:7, 1:18, 3:14, 5:14, 7:12, 19:4, 22:20, 22:21
ιδου	G2400	V-2AAM-2S	484	idou	ιδου	used as imperative lo!; 	484	(2, 11)	(2, 11)	(342, 684, 279, 838, 216, 1082, 198, 1186, 299, 783, 154, 1521)	(342, 684, 279, 838, 216, 1082, 198, 1186, 299, 783, 154, 1521)	1:7, 1:18, 2:10, 2:22, 3:8, 3:9, 3:11, 3:20, 4:1, 4:2, 5:5, 5:6, 6:2, 6:5, 6:8, 6:12, 7:9, 9:12, 11:14, 12:3, 14:1, 14:14, 15:5, 16:15, 19:11, 21:3, 21:5, 22:7, 22:12
ερχεται	G2064	V-PNI-3S	1021	erxetai	ερχομαι	to come or go (in a great variety of applications, literally and figuratively)	826	(1021,)	(2, 7, 59)	(722, 1444, 589, 1768, 457, 2283, 417, 2501, 631, 1652, 325, 3208)	(584, 1168, 477, 1431, 369, 1847, 337, 2023, 510, 1336, 263, 2595)	1:7, 11:14
νεφελων	G3507	N-GPF	1440	nefelōn	νεφελη	properly, cloudiness, i.e. (concretely) a cloud	598	(2, 3, 5)	(2, 13, 23)	(1018, 2036, 831, 2494, 644, 3220, 588, 3527, 890, 2330, 458, 4524)	(423, 846, 345, 1036, 267, 1337, 244, 1465, 370, 968, 190, 1879)	1:7
οψεται	G3700	V-FDI-3S	1086	opsetai	οπτανομαι	to gaze (i.e. with wide-open eyes, as at something remarkable; and thus differing from G991 (ὀπτάνομαι), which denotes simply voluntary observation; and from G1492 (ὀπτάνομαι), which expresses merely mechanical, passive or casual vision; while G2300 (ὀπτάνομαι), and still more emphatically its intensive G2334 (ὀπτάνομαι), signifies an earnest but more continued inspection; and G4648 (ὀπτάνομαι) a watching from a distance)	622	(2, 3, 181)	(2, 311)	(768, 1536, 627, 1881, 486, 2428, 443, 2660, 671, 1757, 346, 3412)	(440, 880, 359, 1077, 278, 1391, 254, 1524, 384, 1006, 198, 1954)	1:7
πας	G3956	A-NSM	281	pas	πας	all, any, every, the whole	281	(281,)	(281,)	(199, 397, 162, 487, 126, 628, 115, 688, 174, 455, 89, 883)	(199, 397, 162, 487, 126, 628, 115, 688, 174, 455, 89, 883)	1:7, 6:15, 8:7, 18:17, 18:22, 22:15
οφθαλμος	G3788	N-NSM	920	ofthalmos	οφθαλμος	the eye (literally or figuratively); by implication, vision; figuratively, envy (from the jealous side-glance)	920	(2, 5, 23)	(2, 5, 23)	(651, 1301, 531, 1593, 411, 2057, 376, 2254, 569, 1489, 293, 2890)	(651, 1301, 531, 1593, 411, 2057, 376, 2254, 569, 1489, 293, 2890)	1:7
εξεκεντησαν	G1574	V-AAI-3P	704	ecekentēsan	εκκεντεω	to transfix	1205	(2, 11)	(5, 241)	(498, 996, 406, 1219, 315, 1574, 287, 1724, 435, 1139, 224, 2212)	(852, 1704, 696, 2087, 539, 2694, 492, 2952, 745, 1950, 384, 3786)	1:7
κοψονται	G2875	V-FDI-3P	1221	kopsontai	κοπτω	"to ""chop""; specially, to beat the breast in grief"	1270	(3, 11, 37)	(2, 5, 127)	(863, 1727, 705, 2115, 546, 2730, 498, 2991, 755, 1976, 389, 3836)	(898, 1796, 733, 2200, 568, 2840, 518, 3111, 785, 2055, 404, 3990)	1:7, 18:9
πασαι	G3956	A-NPF	292	pasai	πας	all, any, every, the whole	281	(2, 73)	(281,)	(206, 413, 169, 506, 131, 653, 119, 715, 180, 472, 93, 917)	(199, 397, 162, 487, 126, 628, 115, 688, 174, 455, 89, 883)	1:7, 2:23
φυλαι	G5443	N-NPF	941	fulai	φυλη	an offshoot, i.e. race or clan	938	(941,)	(2, 7, 67)	(665, 1331, 543, 1630, 421, 2104, 384, 2305, 582, 1523, 300, 2956)	(663, 1327, 542, 1625, 419, 2097, 383, 2298, 580, 1518, 299, 2947)	1:7
γης	G1093	N-GSF	211	gēs	γη	soil; by extension a region, or the solid part or the whole of the terrene globe (including the occupants in each application)	11	(211,)	(11,)	(149, 298, 122, 365, 94, 472, 86, 517, 130, 341, 67, 663)	(8, 16, 6, 19, 5, 25, 4, 27, 7, 18, 4, 35)	1:5, 1:7, 3:10, 5:3, 5:10, 5:13, 6:4, 6:8, 6:10, 6:15, 7:1, 8:13, 9:3, 9:4, 10:5, 10:8, 11:4, 11:10, 13:8, 13:11, 13:14, 14:3, 14:6, 14:15, 14:18, 14:19, 16:14, 16:18, 17:2, 17:5, 17:8, 17:18, 18:3, 18:9, 18:11, 18:23, 18:24, 19:19, 20:8, 20:9, 21:24
αμην	G281	HEB	99	amēn	αμην	properly, firm, i.e. (figuratively) trustworthy; adverbially, surely (often as interjection, so be it)	99	(3, 11)	(3, 11)	(70, 140, 57, 171, 44, 221, 40, 242, 61, 160, 32, 311)	(70, 140, 57, 171, 44, 221, 40, 242, 61, 160, 32, 311)	1:6, 1:7, 1:18, 3:14, 5:14, 7:12, 19:4, 22:20, 22:21
ειμι	G1510	V-PXI-1S	65	eimi	ειμι	I exist (used only when emphatic)	65	(5, 13)	(5, 13)	(46, 92, 38, 113, 29, 145, 27, 159, 40, 105, 21, 204)	(46, 92, 38, 113, 29, 145, 27, 159, 40, 105, 21, 204)	1:8, 1:11, 1:17, 1:18, 2:23, 3:17, 18:7, 19:10, 21:6, 22:9, 22:13, 22:16
α	G1	N-LI	1	a	αν	the first letter of the alphabet; figuratively, only (from its use as a numeral) the first: 	51	(1,)	(3, 17)	(1, 1, 1, 2, 0, 2, 0, 2, 1, 2, 0, 3)	(36, 72, 29, 88, 23, 114, 21, 125, 32, 83, 16, 160)	1:1, 1:4, 1:8, 1:11, 1:19, 2:6, 2:10, 3:2, 3:4, 4:1, 5:13, 9:20, 10:4, 13:14, 17:12, 17:15, 17:16, 21:6, 21:12, 22:6, 22:13
ω	G5598	N-LI	800	ō	Ω	the last letter of the Greek alphabet, i.e. (figuratively) the finality	800	(2, 5)	(2, 5)	(566, 1131, 462, 1386, 358, 1789, 327, 1960, 494, 1294, 255, 2513)	(566, 1131, 462, 1386, 358, 1789, 327, 1960, 494, 1294, 255, 2513)	1:8, 1:11, 18:6, 21:6, 22:13
αρχη	G746	N-NSF	709	arxē	αρχη	(properly abstract) a commencement, or (concretely) chief (in various applications of order, time, place, or rank)	709	(709,)	(709,)	(501, 1003, 409, 1228, 317, 1585, 289, 1737, 438, 1147, 226, 2227)	(501, 1003, 409, 1228, 317, 1585, 289, 1737, 438, 1147, 226, 2227)	1:8, 3:14, 21:6, 22:13
τελος	G5056	N-NSN	605	telos	τελος	properly, the point aimed at as a limit, i.e. (by implication) the conclusion of an act or state (termination (literally, figuratively or indefinitely), result (immediate, ultimate or prophetic), purpose); specially, an impost or levy (as paid)	605	(5, 11)	(5, 11)	(428, 856, 349, 1048, 271, 1353, 247, 1482, 374, 979, 193, 1901)	(428, 856, 349, 1048, 271, 1353, 247, 1482, 374, 979, 193, 1901)	1:8, 21:6, 22:13
λεγει	G3004	V-PAI-3S	53	legei	λεγω	"properly, to ""lay"" forth, i.e. (figuratively) relate (in words (usually of systematic or set discourse; whereas G2036 (λέγω) and G5346 (λέγω) generally refer to an individual expression or speech respectively; while G4483 (λέγω) is properly to break silence merely, and G2980 (λέγω) means an extended or random harangue)); by implication, to mean"	838	(53,)	(2, 419)	(37, 75, 31, 92, 24, 119, 22, 130, 33, 86, 17, 167)	(593, 1185, 484, 1451, 375, 1874, 342, 2053, 518, 1356, 267, 2633)	1:8, 2:1, 2:7, 2:8, 2:11, 2:12, 2:17, 2:18, 2:29, 3:1, 3:6, 3:7, 3:13, 3:14, 3:22, 5:5, 10:9, 10:11, 14:13, 17:15, 18:7, 19:9, 19:10, 21:5, 22:9, 22:10, 22:20
κυριος	G2962	N-NSM	800	kurios	κυριος	supreme in authority, i.e. (as noun) controller; by implication, Master (as a respectful title)	800	(2, 5)	(2, 5)	(566, 1131, 462, 1386, 358, 1789, 327, 1960, 494, 1294, 255, 2513)	(566, 1131, 462, 1386, 358, 1789, 327, 1960, 494, 1294, 255, 2513)	1:8, 4:8, 11:8, 17:14, 18:8, 19:6, 19:16, 21:22, 22:5, 22:6
ην	G2258	V-IXI-3S	58	ēn	ην	I (thou, etc.) was (wast or were)	58	(2, 29)	(2, 29)	(41, 82, 33, 100, 26, 130, 24, 142, 36, 94, 18, 182)	(41, 82, 33, 100, 26, 130, 24, 142, 36, 94, 18, 182)	1:1, 1:4, 1:8, 4:1, 4:3, 4:8, 6:9, 9:10, 10:8, 10:10, 11:17, 13:2, 16:5, 17:8, 17:11, 17:18, 21:18, 21:21
ερχομενος	G2064	V-PNP-NSM	1140	erxomenos	ερχομαι	to come or go (in a great variety of applications, literally and figuratively)	826	(2, 3, 5, 19)	(2, 7, 59)	(806, 1612, 658, 1975, 510, 2549, 465, 2792, 705, 1845, 363, 3581)	(584, 1168, 477, 1431, 369, 1847, 337, 2023, 510, 1336, 263, 2595)	1:4, 1:8, 4:8, 11:17
παντοκρατωρ	G3841	N-NSM	1822	pantokratōr	παντοκρατωρ	the all-ruling, i.e. God (as absolute and universal sovereign)	1822	(2, 911)	(2, 911)	(1288, 2577, 1052, 3156, 815, 4074, 744, 4463, 1126, 2948, 580, 5724)	(1288, 2577, 1052, 3156, 815, 4074, 744, 4463, 1126, 2948, 580, 5724)	1:8, 4:8, 11:17, 15:3, 16:7, 19:6, 21:22
ιωαννης	G2491	N-NSM	1119	iōannēs	Ιωαννης	Joannes (i.e. Jochanan), the name of four Israelites	1119	(3, 373)	(3, 373)	(791, 1583, 646, 1938, 500, 2502, 457, 2741, 692, 1811, 356, 3515)	(791, 1583, 646, 1938, 500, 2502, 457, 2741, 692, 1811, 356, 3515)	1:4, 1:9, 21:2, 22:8
αδελφος	G80	N-NSM	810	adelfos	αδελφος	a brother (literally or figuratively) near or remote (much like G1 (ἀδελφός))	810	(2, 3, 5)	(2, 3, 5)	(573, 1146, 468, 1403, 362, 1811, 331, 1984, 501, 1311, 258, 2545)	(573, 1146, 468, 1403, 362, 1811, 331, 1984, 501, 1311, 258, 2545)	1:9
συγκοινωνος	G4791	A-NSM	1873	sugkoinōnos	συγκοινωνος	a co-participant	1873	(1873,)	(1873,)	(1324, 2649, 1081, 3244, 838, 4188, 765, 4588, 1158, 3031, 596, 5884)	(1324, 2649, 1081, 3244, 838, 4188, 765, 4588, 1158, 3031, 596, 5884)	1:9
θλιψει	G2347	N-DSF	764	thlipsei	θλιψις	pressure (literally or figuratively)	959	(2, 191)	(7, 137)	(540, 1080, 441, 1323, 342, 1708, 312, 1871, 472, 1236, 243, 2400)	(678, 1356, 554, 1661, 429, 2144, 392, 2349, 593, 1552, 305, 3013)	1:9
βασιλεια	G932	N-NSF	259	basileia	βασιλεια	properly, royalty, i.e. (abstractly) rule, or (concretely) a realm (literally or figuratively)	259	(7, 37)	(7, 37)	(183, 366, 150, 449, 116, 579, 106, 634, 160, 419, 82, 814)	(183, 366, 150, 449, 116, 579, 106, 634, 160, 419, 82, 814)	1:9, 12:10, 16:10
υπομονη	G5281	N-NSF	718	upomonē	υπομονη	cheerful (or hopeful) endurance, constancy	718	(2, 359)	(2, 359)	(508, 1015, 415, 1244, 321, 1605, 293, 1759, 444, 1162, 229, 2256)	(508, 1015, 415, 1244, 321, 1605, 293, 1759, 444, 1162, 229, 2256)	1:9, 13:10, 14:12
ιησου	G2424	N-GSM	688	iēsou	Ιησους	Jesus (i.e. Jehoshua), the name of our Lord and two (three) other Israelites	888	(2, 43)	(2, 3, 37)	(486, 973, 397, 1192, 308, 1538, 281, 1685, 425, 1113, 219, 2161)	(628, 1256, 513, 1538, 397, 1986, 363, 2175, 549, 1437, 283, 2790)	1:1, 1:2, 1:5, 1:9, 12:17, 14:12, 17:6, 19:10, 20:4, 22:20, 22:21
χριστου	G5547	N-GSM	1680	xristou	Χριστος	anointed, i.e. the Messiah, an epithet of Jesus	1480	(2, 3, 5, 7)	(2, 5, 37)	(1188, 2376, 970, 2910, 751, 3757, 686, 4115, 1038, 2718, 535, 5278)	(1047, 2093, 854, 2563, 662, 3309, 604, 3625, 915, 2395, 471, 4650)	1:1, 1:2, 1:5, 1:9, 11:15, 12:10, 12:17, 20:4, 20:6, 22:21
εγενομην	G1096	V-2ADI-1S	231	egenomēn	γινομαι	"to cause to be (""gen""-erate), i.e. (reflexively) to become (come into being), used with great latitude (literal, figurative, intensive, etc.)"	184	(3, 7, 11)	(2, 23)	(163, 327, 133, 400, 103, 517, 94, 566, 143, 374, 74, 726)	(130, 260, 106, 319, 82, 411, 75, 451, 114, 298, 59, 578)	1:9, 1:10, 1:18, 4:2
νησω	G3520	N-DSF	1058	nēsō	νησος	an island	528	(2, 23)	(2, 3, 11)	(748, 1496, 611, 1833, 473, 2366, 432, 2592, 654, 1712, 337, 3324)	(373, 747, 305, 915, 236, 1181, 216, 1293, 326, 854, 168, 1659)	1:9
καλουμενη	G2564	V-PPP-DSF	624	kaloumenē	καλεω	"to ""call"" (properly, aloud, but used in a variety of applications, directly or otherwise)"	856	(2, 3, 13)	(2, 107)	(441, 882, 360, 1081, 279, 1395, 255, 1528, 386, 1010, 199, 1960)	(605, 1211, 494, 1483, 383, 1914, 349, 2097, 529, 1385, 272, 2689)	1:9
πατμω	G3963	N-DSF	1221	patmō	Πατμος	Patmus, an islet in the Mediterranean	691	(3, 11, 37)	(691,)	(863, 1727, 705, 2115, 546, 2730, 498, 2991, 755, 1976, 389, 3836)	(489, 977, 399, 1197, 309, 1545, 282, 1693, 427, 1118, 220, 2171)	1:9
λογον	G3056	N-ASM	223	logon	λογος	something said (including the thought); by implication, a topic (subject of discourse), also reasoning (the mental faculty) or motive; by extension, a computation; specially, (with the article in John) the Divine Expression (i.e. Christ)	373	(223,)	(373,)	(158, 315, 129, 386, 100, 499, 91, 546, 138, 361, 71, 701)	(264, 528, 215, 646, 167, 834, 152, 914, 231, 604, 119, 1172)	1:2, 1:9, 3:8, 3:10, 6:9, 12:11, 20:4
θεου	G2316	N-GSM	484	theou	θεος	figuratively, a magistrate; by Hebraism, very	284	(2, 11)	(2, 71)	(342, 684, 279, 838, 216, 1082, 198, 1186, 299, 783, 154, 1521)	(201, 402, 164, 492, 127, 635, 116, 696, 176, 460, 90, 892)	1:2, 1:9, 2:7, 2:18, 3:1, 3:2, 3:12, 3:14, 4:5, 5:6, 6:9, 7:2, 7:3, 7:10, 7:15, 8:2, 8:4, 9:4, 9:13, 10:7, 11:1, 11:4, 11:11, 11:16, 11:19, 12:6, 12:10, 12:17, 14:5, 14:10, 14:12, 14:19, 15:1, 15:2, 15:3, 15:7, 15:8, 16:1, 16:9, 16:14, 16:19, 17:17, 19:9, 19:13, 19:15, 19:17, 20:4, 20:6, 20:9, 20:12, 21:2, 21:3, 21:10, 21:11, 21:23, 22:1, 22:3
μαρτυριαν	G3141	N-ASF	1002	marturian	μαρτυρια	evidence given (judicially or genitive case)	952	(2, 3, 167)	(2, 7, 17)	(709, 1417, 579, 1736, 448, 2241, 409, 2454, 619, 1621, 319, 3148)	(673, 1346, 550, 1649, 426, 2129, 389, 2332, 588, 1540, 303, 2991)	1:2, 1:9, 6:9, 11:7, 12:17, 19:10, 20:4
ιησου	G2424	N-GSM	688	iēsou	Ιησους	Jesus (i.e. Jehoshua), the name of our Lord and two (three) other Israelites	888	(2, 43)	(2, 3, 37)	(486, 973, 397, 1192, 308, 1538, 281, 1685, 425, 1113, 219, 2161)	(628, 1256, 513, 1538, 397, 1986, 363, 2175, 549, 1437, 283, 2790)	1:1, 1:2, 1:5, 1:9, 12:17, 14:12, 17:6, 19:10, 20:4, 22:20, 22:21
χριστου	G5547	N-GSM	1680	xristou	Χριστος	anointed, i.e. the Messiah, an epithet of Jesus	1480	(2, 3, 5, 7)	(2, 5, 37)	(1188, 2376, 970, 2910, 751, 3757, 686, 4115, 1038, 2718, 535, 5278)	(1047, 2093, 854, 2563, 662, 3309, 604, 3625, 915, 2395, 471, 4650)	1:1, 1:2, 1:5, 1:9, 11:15, 12:10, 12:17, 20:4, 20:6, 22:21
εγενομην	G1096	V-2ADI-1S	231	egenomēn	γινομαι	"to cause to be (""gen""-erate), i.e. (reflexively) to become (come into being), used with great latitude (literal, figurative, intensive, etc.)"	184	(3, 7, 11)	(2, 23)	(163, 327, 133, 400, 103, 517, 94, 566, 143, 374, 74, 726)	(130, 260, 106, 319, 82, 411, 75, 451, 114, 298, 59, 578)	1:9, 1:10, 1:18, 4:2
πνευματι	G4151	N-DSN	886	pneumati	πνευμα	a current of air, i.e. breath (blast) or a breeze; by analogy or figuratively, a spirit, i.e. (human) the rational soul, (by implication) vital principle, mental disposition, etc., or (superhuman) an angel, demon, or (divine) God, Christ's spirit, the Holy Spirit	576	(2, 443)	(2, 3)	(626, 1253, 512, 1535, 396, 1981, 362, 2170, 548, 1434, 282, 2783)	(407, 815, 333, 998, 258, 1288, 235, 1411, 356, 932, 183, 1810)	1:10, 4:2, 17:3, 21:10
κυριακη	G2960	A-DSF	559	kuriakē	κυριακος	belonging to the Lord (Jehovah or Jesus)	821	(13, 43)	(821,)	(395, 791, 323, 968, 250, 1250, 228, 1369, 345, 904, 178, 1756)	(581, 1161, 474, 1422, 367, 1836, 335, 2011, 507, 1328, 261, 2579)	1:10
ημερα	G2250	N-DSF	154	ēmera	ημερα	day, i.e. (literally) the time space between dawn and dark, or the whole 24 hours (but several days were usually reckoned by the Jews as inclusive of the parts of both extremes); figuratively, a period (always defined more or less clearly by the context)	154	(2, 7, 11)	(2, 7, 11)	(109, 218, 89, 267, 69, 344, 63, 377, 95, 249, 49, 484)	(109, 218, 89, 267, 69, 344, 63, 377, 95, 249, 49, 484)	1:10, 6:17, 8:12, 18:8
ηκουσα	G191	V-AAI-1S	699	ēkousa	ακουω	to hear (in various senses)	1291	(3, 233)	(1291,)	(494, 989, 404, 1211, 313, 1563, 285, 1712, 432, 1131, 222, 2196)	(913, 1826, 745, 2236, 577, 2887, 527, 3162, 798, 2089, 411, 4056)	1:10, 4:1, 5:11, 5:13, 6:1, 6:3, 6:5, 6:6, 6:7, 7:4, 8:13, 9:13, 9:16, 10:4, 10:8, 12:10, 14:2, 14:13, 16:1, 16:5, 16:7, 18:4, 19:1, 19:6, 21:3, 22:8
οπισω	G3694	ADV	1160	opisō	οπισω	to the back, i.e. aback (as adverb or preposition of time or place; or as noun)	1160	(2, 5, 29)	(2, 5, 29)	(820, 1640, 670, 2009, 519, 2594, 474, 2841, 717, 1877, 369, 3644)	(820, 1640, 670, 2009, 519, 2594, 474, 2841, 717, 1877, 369, 3644)	1:10, 12:15, 13:3
φωνην	G5456	N-ASF	1408	fōnēn	φωνη	a tone (articulate, bestial or artificial); by implication, an address (for any purpose), saying or language	1358	(2, 11)	(2, 7, 97)	(996, 1991, 813, 2439, 630, 3148, 575, 3449, 870, 2278, 448, 4423)	(960, 1921, 784, 2352, 607, 3037, 554, 3326, 839, 2197, 432, 4266)	1:10, 1:12, 5:11, 6:6, 6:7, 9:13, 10:4, 11:12, 12:10, 14:2, 18:4, 19:1, 19:6
μεγαλην	G3173	A-ASF	137	megalēn	μεγας	big (literally or figuratively, in a very wide application)	249	(137,)	(3, 83)	(97, 194, 79, 237, 61, 306, 56, 336, 85, 222, 44, 430)	(176, 352, 144, 431, 111, 557, 102, 610, 154, 403, 79, 782)	1:10, 2:22, 11:12, 11:17, 12:10, 13:2, 14:19, 18:1, 19:1, 19:2, 20:1, 21:10
ως	G5613	ADV	1000	ōs	ως	which how, i.e. in that manner (very variously used, as follows)	1000	(2, 5)	(2, 5)	(707, 1414, 577, 1732, 447, 2236, 408, 2449, 618, 1618, 318, 3142)	(707, 1414, 577, 1732, 447, 2236, 408, 2449, 618, 1618, 318, 3142)	1:10, 1:14, 1:15, 1:16, 1:17, 2:18, 2:24, 2:27, 3:3, 3:21, 4:1, 4:7, 5:6, 6:1, 6:11, 6:12, 6:13, 6:14, 8:1, 8:8, 8:10, 9:2, 9:3, 9:5, 9:7, 9:8, 9:9, 9:17, 10:1, 10:7, 10:9, 10:10, 12:15, 13:2, 13:3, 13:11, 14:2, 14:3, 15:2, 16:3, 16:15, 16:21, 17:12, 18:6, 18:21, 19:6, 19:12, 20:8, 21:2, 21:11, 21:21, 22:1, 22:12
σαλπιγγος	G4536	N-GSF	597	salpiggos	σαλπιγξ	a trumpet	384	(3, 199)	(2, 3)	(422, 844, 345, 1034, 267, 1335, 244, 1462, 369, 966, 190, 1876)	(272, 543, 222, 665, 172, 859, 157, 941, 237, 621, 122, 1206)	1:10, 4:1, 8:13
λεγουσης	G3004	V-PAP-GSF	916	legousēs	λεγω	"properly, to ""lay"" forth, i.e. (figuratively) relate (in words (usually of systematic or set discourse; whereas G2036 (λέγω) and G5346 (λέγω) generally refer to an individual expression or speech respectively; while G4483 (λέγω) is properly to break silence merely, and G2980 (λέγω) means an extended or random harangue)); by implication, to mean"	838	(2, 229)	(2, 419)	(648, 1295, 529, 1587, 410, 2048, 374, 2244, 566, 1482, 292, 2878)	(593, 1185, 484, 1451, 375, 1874, 342, 2053, 518, 1356, 267, 2633)	1:11, 14:13, 16:1, 21:3
ειμι	G1510	V-PXI-1S	65	eimi	ειμι	I exist (used only when emphatic)	65	(5, 13)	(5, 13)	(46, 92, 38, 113, 29, 145, 27, 159, 40, 105, 21, 204)	(46, 92, 38, 113, 29, 145, 27, 159, 40, 105, 21, 204)	1:8, 1:11, 1:17, 1:18, 2:23, 3:17, 18:7, 19:10, 21:6, 22:9, 22:13, 22:16
α	G1	N-LI	1	a	αν	the first letter of the alphabet; figuratively, only (from its use as a numeral) the first: 	51	(1,)	(3, 17)	(1, 1, 1, 2, 0, 2, 0, 2, 1, 2, 0, 3)	(36, 72, 29, 88, 23, 114, 21, 125, 32, 83, 16, 160)	1:1, 1:4, 1:8, 1:11, 1:19, 2:6, 2:10, 3:2, 3:4, 4:1, 5:13, 9:20, 10:4, 13:14, 17:12, 17:15, 17:16, 21:6, 21:12, 22:6, 22:13
ω	G5598	N-LI	800	ō	Ω	the last letter of the Greek alphabet, i.e. (figuratively) the finality	800	(2, 5)	(2, 5)	(566, 1131, 462, 1386, 358, 1789, 327, 1960, 494, 1294, 255, 2513)	(566, 1131, 462, 1386, 358, 1789, 327, 1960, 494, 1294, 255, 2513)	1:8, 1:11, 18:6, 21:6, 22:13
πρωτος	G4413	A-NSM	1550	prōtos	πρωτος	foremost (in time, place, order or importance)	1550	(2, 5, 31)	(2, 5, 31)	(1096, 2192, 895, 2685, 693, 3466, 633, 3797, 958, 2508, 493, 4869)	(1096, 2192, 895, 2685, 693, 3466, 633, 3797, 958, 2508, 493, 4869)	1:11, 1:17, 2:8, 8:7, 16:2, 21:1, 21:19, 22:13
εσχατος	G2078	A-NSM	1376	esxatos	εσχατος	farthest, final (of place or time)	1376	(2, 43)	(2, 43)	(973, 1946, 794, 2383, 615, 3077, 562, 3370, 850, 2226, 438, 4323)	(973, 1946, 794, 2383, 615, 3077, 562, 3370, 850, 2226, 438, 4323)	1:11, 1:17, 2:8, 22:13
βλεπεις	G991	V-PAI-2S	332	blepeis	βλεπω	to look at (literally or figuratively)	917	(2, 83)	(7, 131)	(235, 470, 192, 575, 148, 742, 136, 813, 205, 537, 106, 1043)	(648, 1297, 529, 1588, 410, 2050, 374, 2246, 567, 1484, 292, 2881)	1:11
γραψον	G1125	V-AAM-2S	924	grapson	γραφω	"to ""grave"", especially to write; figuratively, to describe"	1404	(2, 3, 7, 11)	(2, 3, 13)	(653, 1307, 533, 1600, 413, 2066, 377, 2263, 571, 1495, 294, 2903)	(993, 1986, 811, 2432, 628, 3139, 573, 3439, 868, 2272, 447, 4411)	1:11, 1:19, 2:1, 2:8, 2:12, 2:18, 3:1, 3:7, 3:14, 14:13, 19:9, 21:5
βιβλιον	G975	N-NSN	174	biblion	βιβλιον	a roll	174	(2, 3, 29)	(2, 3, 29)	(123, 246, 100, 301, 78, 389, 71, 426, 108, 282, 55, 547)	(123, 246, 100, 301, 78, 389, 71, 426, 108, 282, 55, 547)	1:11, 5:1, 5:2, 5:3, 5:4, 5:5, 5:7, 5:8, 5:9, 6:14, 17:8, 20:12
πεμψον	G3992	V-AAM-2S	945	pempson	πεμπω	to dispatch (from the subjective view or point of departure, whereas (as a stronger form of ) refers rather to the objective point or terminus ad quem, and G4724 (πέμπω) denotes properly, the orderly motion involved), especially on a temporary errand; also to transmit, bestow, or wield	1005	(3, 5, 7)	(3, 5, 67)	(668, 1336, 546, 1637, 423, 2113, 386, 2315, 584, 1529, 301, 2969)	(711, 1421, 580, 1741, 449, 2247, 410, 2462, 621, 1626, 320, 3157)	1:11, 14:15, 14:18
εκκλησιαις	G1577	N-DPF	504	ekklēsiais	εκκλησια	a calling out, i.e. (concretely) a popular meeting, especially a religious congregation (Jewish synagogue, or Christian community of members on earth or saints in heaven or both)	294	(2, 3, 7)	(2, 3, 7)	(356, 713, 291, 873, 225, 1127, 206, 1235, 311, 815, 160, 1583)	(208, 416, 170, 509, 131, 657, 120, 720, 182, 476, 94, 924)	1:4, 1:11, 2:7, 2:11, 2:17, 2:29, 3:6, 3:13, 3:22, 22:16
ασια	G773	N-DSF	212	asia	Ασια	Asia, i.e. Asia Minor, or (usually) only its western shore	212	(2, 53)	(2, 53)	(150, 300, 122, 367, 95, 474, 87, 519, 131, 343, 67, 666)	(150, 300, 122, 367, 95, 474, 87, 519, 131, 343, 67, 666)	1:4, 1:11
